[epoch:2, iter:324] Loss: 1.094 | Acc: 60.242% 
[epoch:2, iter:325] Loss: 1.094 | Acc: 60.238% 
[epoch:2, iter:326] Loss: 1.094 | Acc: 60.249% 
[epoch:2, iter:327] Loss: 1.093 | Acc: 60.281% 
[epoch:2, iter:328] Loss: 1.092 | Acc: 60.313% 
[epoch:2, iter:329] Loss: 1.092 | Acc: 60.318% 
[epoch:2, iter:330] Loss: 1.091 | Acc: 60.366% 
[epoch:2, iter:331] Loss: 1.090 | Acc: 60.399% 
[epoch:2, iter:332] Loss: 1.088 | Acc: 60.466% 
[epoch:2, iter:333] Loss: 1.088 | Acc: 60.493% 
[epoch:2, iter:334] Loss: 1.087 | Acc: 60.527% 
[epoch:2, iter:335] Loss: 1.085 | Acc: 60.581% 
[epoch:2, iter:336] Loss: 1.085 | Acc: 60.597% 
[epoch:2, iter:337] Loss: 1.084 | Acc: 60.597% 
[epoch:2, iter:338] Loss: 1.083 | Acc: 60.643% 
[epoch:2, iter:339] Loss: 1.082 | Acc: 60.659% 
[epoch:2, iter:340] Loss: 1.081 | Acc: 60.718% 
[epoch:2, iter:341] Loss: 1.081 | Acc: 60.735% 
[epoch:2, iter:342] Loss: 1.081 | Acc: 60.715% 
[epoch:2, iter:343] Loss: 1.080 | Acc: 60.773% 
[epoch:2, iter:344] Loss: 1.079 | Acc: 60.792% 
[epoch:2, iter:345] Loss: 1.079 | Acc: 60.780% 
[epoch:2, iter:346] Loss: 1.079 | Acc: 60.805% 
[epoch:2, iter:347] Loss: 1.079 | Acc: 60.808% 
[epoch:2, iter:348] Loss: 1.078 | Acc: 60.855% 
[epoch:2, iter:349] Loss: 1.078 | Acc: 60.863% 
[epoch:2, iter:350] Loss: 1.077 | Acc: 60.884% 
[epoch:2, iter:351] Loss: 1.076 | Acc: 60.910% 
[epoch:2, iter:352] Loss: 1.075 | Acc: 60.970% 
[epoch:2, iter:353] Loss: 1.075 | Acc: 60.995% 
[epoch:2, iter:354] Loss: 1.074 | Acc: 61.029% 
[epoch:2, iter:355] Loss: 1.074 | Acc: 61.060% 
[epoch:2, iter:356] Loss: 1.073 | Acc: 61.067% 
[epoch:2, iter:357] Loss: 1.073 | Acc: 61.112% 
[epoch:2, iter:358] Loss: 1.072 | Acc: 61.162% 
[epoch:2, iter:359] Loss: 1.072 | Acc: 61.187% 
[epoch:2, iter:360] Loss: 1.071 | Acc: 61.221% 
[epoch:2, iter:361] Loss: 1.071 | Acc: 61.241% 
